,Author,We,Baby,Doctor,Partner,Nurse,Midwife,Family,Anesthesiologist,Doula
488,25,1,6,0,1,0,2,0,0,0
489,136,12,4,12,4,6,5,0,0,0
490,84,15,18,7,7,3,0,0,1,0
491,28,4,5,1,1,0,1,1,0,0
492,46,1,11,6,0,1,0,0,0,0
493,59,10,6,6,3,4,0,0,0,2
494,24,2,3,0,1,0,0,1,0,0
495,62,3,8,3,4,6,0,0,0,0
496,150,9,6,3,7,0,9,0,0,0
497,32,4,1,0,5,2,0,0,0,0
498,36,6,1,0,0,0,2,1,0,0
499,42,9,5,0,3,0,5,3,0,0
500,38,5,2,4,0,1,0,1,1,0
501,157,19,12,0,15,4,2,1,2,0
502,181,31,18,3,5,11,1,0,2,0
503,34,5,4,2,0,0,0,0,0,0
504,39,7,4,5,4,0,0,0,0,0
505,36,15,7,1,9,0,2,1,0,0
506,47,1,7,5,1,0,0,0,0,0
507,74,4,9,0,2,1,0,1,0,0
508,44,3,2,2,0,0,0,0,3,0
509,26,8,3,3,0,1,0,0,1,0
510,75,9,8,2,3,3,1,0,1,0
511,20,19,8,6,11,5,0,0,0,0
512,49,4,2,4,2,1,0,0,0,0
513,48,6,3,6,1,7,0,0,0,0
514,117,19,19,5,9,5,0,1,2,0
515,39,3,4,2,0,3,0,1,0,0
516,75,1,9,0,3,0,6,0,0,0
517,43,1,7,2,1,1,2,0,0,0
518,78,2,11,3,8,0,3,1,0,0
519,63,3,6,4,2,1,0,0,0,0
520,131,22,8,7,6,2,0,1,0,0
521,20,7,5,1,2,0,0,0,0,0
522,57,6,5,7,4,3,0,10,0,0
523,62,3,9,0,0,0,0,2,1,0
524,53,9,6,1,1,0,1,0,0,0
525,93,4,18,6,0,6,0,0,1,0
526,63,10,4,3,1,0,2,0,1,0
527,57,7,0,1,0,0,0,0,0,0
528,40,1,4,1,1,0,0,1,0,0
529,38,5,5,2,0,0,0,0,0,0
530,112,7,11,8,4,6,0,0,2,0
531,73,2,3,0,4,0,3,1,0,5
532,108,0,13,4,6,1,0,0,1,0
533,120,15,8,0,2,0,5,0,0,0
534,61,5,1,9,2,0,0,2,0,0
535,43,4,10,3,3,0,7,0,0,0
536,151,18,11,0,3,0,6,1,0,0
537,81,5,1,0,0,0,7,0,2,0
538,36,3,4,5,2,0,0,0,0,0
539,151,18,11,0,3,0,6,1,0,0
540,62,5,6,0,5,0,5,2,0,0
541,80,1,14,6,0,7,0,0,2,0
542,39,5,8,0,1,0,4,0,0,0
543,66,11,8,6,6,0,0,1,0,0
544,30,4,2,0,0,0,0,3,0,0
545,99,18,9,7,8,8,1,4,0,0
546,77,14,22,13,5,4,0,0,0,0
547,82,10,2,8,2,5,1,0,2,0
548,35,11,5,2,3,0,0,1,0,0
549,4,6,3,0,0,0,0,0,0,0
550,29,1,1,2,1,0,0,0,0,0
551,29,5,0,1,2,0,0,0,0,0
552,50,2,4,5,0,1,0,2,1,0
553,32,6,1,8,0,6,0,0,0,0
554,27,3,2,0,0,1,0,1,1,0
555,37,0,2,2,1,2,1,1,0,0
556,66,3,4,1,2,3,0,0,6,0
557,25,5,8,5,0,3,0,2,0,0
558,58,2,6,9,3,5,0,1,0,0
559,17,4,0,2,1,0,0,0,0,0
560,146,4,14,12,11,1,12,0,0,0
561,82,6,8,5,8,3,0,2,1,0
562,56,2,10,6,2,0,0,0,0,0
563,10,18,10,3,3,0,0,6,0,0
564,55,17,9,0,3,0,0,1,0,0
565,31,1,4,1,3,0,2,0,0,0
566,59,3,4,0,0,0,1,0,0,0
567,10,11,2,0,2,0,0,1,0,0
568,62,9,2,8,4,5,0,2,0,0
569,70,4,1,1,2,1,2,0,0,0
570,29,4,3,1,1,1,0,0,1,0
571,17,5,3,1,1,0,0,0,0,0
572,17,5,3,1,1,0,0,0,0,0
573,111,14,1,1,7,3,12,0,0,5
574,38,5,4,4,2,2,0,0,1,0
575,54,2,3,4,1,0,0,0,0,0
576,50,3,4,8,5,4,0,1,0,0
577,36,8,7,1,5,1,0,0,2,0
578,85,5,7,0,0,0,8,5,0,0
579,88,10,1,0,12,0,7,0,0,0
580,21,5,3,2,4,1,0,0,2,0
581,29,2,6,0,2,0,3,0,0,0
582,62,4,8,3,3,2,0,0,0,0
583,84,4,2,0,2,0,1,0,0,0
584,55,3,9,8,4,8,1,0,0,0
585,41,4,3,4,0,0,0,0,1,0
586,28,3,4,2,2,0,0,0,0,0
587,126,9,12,7,13,8,4,2,0,0
588,27,2,3,1,0,0,0,2,0,0
589,66,6,2,2,4,2,0,0,0,0
590,47,2,0,0,3,2,0,0,0,0
591,62,9,7,4,4,4,0,1,1,0
592,47,1,3,0,0,2,1,0,0,0
593,89,5,4,4,4,5,0,2,1,0
594,23,2,3,4,1,1,2,0,0,0
595,62,10,4,5,6,5,2,1,0,0
596,38,14,6,0,6,2,4,0,1,0
597,24,4,11,1,0,0,0,1,0,0
598,44,22,8,3,6,1,0,1,0,0
599,38,1,6,2,1,1,0,0,0,0
600,38,1,6,2,1,1,0,0,0,0
601,80,19,15,3,14,1,11,1,2,0
602,57,7,8,1,7,0,0,0,0,0
603,49,1,2,1,1,0,1,0,0,0
604,49,7,3,1,4,0,2,0,0,0
605,50,3,2,1,1,0,1,0,0,0
606,192,13,8,4,15,2,0,10,0,0
607,29,5,7,4,2,1,0,0,0,0
608,47,8,13,1,1,0,8,0,0,0
609,92,6,6,3,5,2,0,0,0,0
610,40,3,2,1,0,3,0,1,0,0
611,92,16,14,1,10,0,15,2,0,0
612,111,2,17,13,3,1,0,0,2,0
613,57,3,2,0,2,3,0,3,0,0
614,79,3,10,5,1,1,0,0,1,0
615,99,10,19,5,0,0,0,2,1,0
616,24,7,5,0,8,0,0,1,0,0
617,110,0,5,4,1,0,0,1,0,0
618,72,1,5,11,8,6,0,0,0,0
619,38,6,3,2,2,0,0,0,2,0
620,93,0,4,2,0,9,0,1,0,0
621,65,11,1,0,4,0,1,0,0,0
622,133,9,8,0,5,1,13,0,1,0
623,58,9,8,7,0,4,0,0,2,0
